NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
N81,Construction,TRUE,N81,2013,BE,0.002415117,ConstructionC25TRUE,C25,0.002415117,0.002415117,0.002415117,0.002415117
C31,Construction,TRUE,C31,2013,BE,0.003319817,ConstructionC25TRUE,C25,0.003319817,0.003319817,0.003319817,0.003319817
F41,Construction,TRUE,F41,2014,BE,0.094393625,ConstructionC25TRUE,C25,0.094393625,0.094393625,0.094393625,0.094393625
F42,Construction,TRUE,F42,2014,BE,0.05936025,ConstructionC25TRUE,C25,0.05936025,0.05936025,0.05936025,0.05936025
F43,Construction,TRUE,F43,2014,BE,0.2365701,ConstructionC25TRUE,C25,0.2365701,0.2365701,0.2365701,0.2365701
M71,Construction,TRUE,M71,2014,BE,0.007659514,ConstructionC25TRUE,C25,0.007659514,0.007659514,0.007659514,0.007659514
N81,Construction,TRUE,N81,2014,BE,0.003294556,ConstructionC25TRUE,C25,0.003294556,0.003294556,0.003294556,0.003294556
C31,Construction,TRUE,C31,2014,BE,0.002391995,ConstructionC25TRUE,C25,0.002391995,0.002391995,0.002391995,0.002391995
F41,Construction,TRUE,F41,2015,BE,0.075259167,ConstructionC25TRUE,C25,0.075259167,0.075259167,0.075259167,0.075259167
F42,Construction,TRUE,F42,2015,BE,0.045911942,ConstructionC25TRUE,C25,0.045911942,0.045911942,0.045911942,0.045911942
F43,Construction,TRUE,F43,2015,BE,0.190796821,ConstructionC25TRUE,C25,0.190796821,0.190796821,0.190796821,0.190796821
M71,Construction,TRUE,M71,2015,BE,0.006905762,ConstructionC25TRUE,C25,0.006905762,0.006905762,0.006905762,0.006905762
N81,Construction,TRUE,N81,2015,BE,0.007655923,ConstructionC25TRUE,C25,0.007655923,0.007655923,0.007655923,0.007655923
